Hex	Name	UWP	Bases	Remarks	Zone	PBG	W	Allegiance	Stars	{Ix}	(Ex)	[Cx]	N
0201	Marz	A5848BB-8	S	Pa Ph Ri	A	601	8	Im	G4 V	{+1}	(576-2)	[893A]	BcCe
0701	Taa	X651000-0		Ba Po Lt	A	001	9	Im	K6 V	{-3}	(600+3)	[0000]	B
1001	Kfathvaedal	X000000-C		As Di Fo Va Ht	R	003	8	Im	K8 V	{-1}	(B00+3)	[0000]	B
1301	Latros	X688000-0		Ba Lt	A	001	11	Im	A3 V A9 V	{-3}	(800+2)	[0000]	B
1601	Gzigorlloe	X311000-A		Di Fo Fr Ic Sa	R	021	7	Im	M0 V BD M9 VI	{-1}	(A00+4)	[0000]	B
2001	Filangger	X76A658-2		Fo Ho Ni Ri Wa Lt	R	322	17	Im	K9 IV BD BD BD K8 V	{-2}	(854+1)	[5441]	BC
3201	Goukhsar	E563000-4		Di Fo Sa Lt	R	003	12	Im	G1 III G6 V	{-3}	(300+1)	[0000]	B
0202	Carthage	B310751-D	S	Na Pi Ht	-	821	12	Im	K5 V M2 VI K8 VI	{+2}	(86E+1)	[797E]	BD
0502	El D'Nah	E549000-8		Di Fo	R	012	12	Im	G8 V	{-3}	(600+1)	[0000]	B
0602	Kirklend	A668310-A	N	Lo Tz	-	233	14	Im	M7 V M5 VI	{+1}	(C21+1)	[1439]	B
0702	Dilex	X626000-0		Ba Ho Lt	A	012	8	Im	F5 V G5 V	{-3}	(700+2)	[0000]	B
0902	Ghatsokie	DA86652-5	S	Ag Ni Ri Tz Lt	-	231	13	Im	M2 V	{-1}	(451-2)	[4552]	BC
1202	Lengighdzuerz	X300000-B		Di Fo Sa Va	R	000	10	Im	K8 IV	{-1}	(B00-4)	[0000]	B
1302	Kantra	X301000-9		Di Fo Ic Va	R	021	8	Im	F5 V	{-2}	(900+1)	[0000]	B
1502	Mur	X100000-A		Di Fo Va	R	000	9	Im	G1 V D M1 VI	{-1}	(700+2)	[0000]	B
1802	Dzoungdzi	X557000-2		Di Fo Lt	R	003	13	Im	K0 V	{-3}	(900-2)	[0000]	B
1902	Noscius	X422000-8		Di Fo He Ho Po	R	032	14	Im	F4 V	{-3}	(C00+1)	[0000]	B
2202	Gounuerz	X435000-A		Di Fo	R	031	13	Im	K0 V	{-1}	(E00-1)	[0000]	B
2502	Tubb	X89A000-4		Di Fo Wa Lt	R	031	8	Im	K7 V	{-3}	(500+1)	[0000]	B
2702	Fosfog	E575000-7		Di Fo Lk	R	010	9	Im	K3 V	{-3}	(700+1)	[0000]	B
2802	Utsbesyult	A785776-D	N	Ag Cp Ga Ht Ri Tu Tz	-	930	12	Im	M9 V	{+4}	(A68+5)	[7B9G]	BCF
0203	Enaaka	D777000-6		Di Fo Tu	R	002	11	Im	M7 III M3 VI	{-3}	(C00+4)	[0000]	B
0303	Kiiga	D530620-7		De Na Ni Po Tz	-	902	13	Im	M8 V D BD	{-3}	(653+2)	[236C]	B
0403	Gessert	E554000-7		Di Fo Ho	R	010	9	Im	G4 V	{-3}	(C00+3)	[0000]	B
0503	Spectre	B100277-A	S	Co Lo Tz Va	-	612	12	Im	M6 V BD BD	{+1}	(711+4)	[133D]	B
0803	Retion	E558000-4		Di Fo Lt	R	001	9	Im	G4 V K9 VI D	{-3}	(A00-3)	[0000]	B
0903	Matsa	X434000-E		Co Di Fo Ht	R	010	7	Im	A6 V	{-1}	(A00+1)	[0000]	B
1203	Naimar Station	X000000-A		As Di Fo Va	R	021	13	Im	G1 V	{-1}	(A00+2)	[0000]	B
1303	Qi'iri	X554000-6		Co Di Fo	R	011	7	Im	G0 III M7 V	{-3}	(700-2)	[0000]	B
1403	Qi'ire	E657000-6		Di Fo Ga Tu Tz	R	000	8	Im	M1 V BD	{-3}	(600+1)	[0000]	B
1603	Gzonksoeg	X567000-4		Di Fo Lt	R	030	12	Im	K8 V	{-3}	(400-1)	[0000]	B
1903	Fursuelgigz	X200000-8		Di Fo Va	R	022	9	Im	K4 V M9 VI	{-3}	(B00-4)	[0000]	B
2403	Tchien	X696000-3		Di Fo Lk Tr Lt	R	003	17	Im	F3 V	{-3}	(700+1)	[0000]	B
